Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
17,Sean Avery\averyse01,27,NYR,LW,57,730,602,54.8,-0.6,563,460,55.0,-1.3,9.6,91.1,100.7,59.9,40.1,15:50,13:20,18,29,245,51.0
18,P.J. Axelsson\axelspj01,32,BOS,LW,75,903,903,50.0,-3.0,675,709,48.8,-2.2,8.5,93.4,101.9,45.2,54.8,17:22,13:40,39,29,186,53.8
19,David Backes\backeda01,23,STL,RW,72,713,696,50.6,2.4,574,530,52.0,2.5,8.6,88.6,97.1,47.0,53.0,14:41,11:59,20,14,205,62.9
20,Christian Backman\backmch01,27,TOT,D,63,792,787,50.2,4.6,621,624,49.9,2.4,7.3,92.0,99.3,52.5,47.5,19:13,15:19,13,25,120,42.5
21,Nicklas Backstrom\backsni02,20,WSH,C,82,1319,912,59.1,5.7,989,692,58.8,5.1,10.0,90.0,100.0,59.9,40.1,18:60,14:38,72,50,278,55.0
22,Keith Ballard\ballake01,25,PHX,D,82,1155,1334,46.4,-5.6,911,1022,47.1,-4.8,8.2,93.4,101.6,40.1,59.9,21:16,17:02,34,38,209,50.2
23,Ivan Baranka\baraniv01,22,NYR,D,1,9,12,42.9,,7,9,43.8,,16.7,100.0,116.7,100.0,0.0,12:44,12:44,0,0,1,100.0
24,Krys Barch\barchkr01,27,DAL,RW,48,211,209,50.2,-3.2,153,169,47.5,-5.2,6.4,92.1,98.5,67.2,32.8,6:30,6:23,10,10,37,62.2
25,Cam Barker\barkeca01,21,CHI,D,45,440,495,47.1,-4.7,338,404,45.6,-7.8,10.8,90.9,101.7,50.5,49.5,17:12,13:25,5,8,95,44.2
26,Stu Barnes\barnest01,37,DAL,C,79,591,668,46.9,-8.0,434,520,45.5,-8.8,8.4,90.6,99.1,34.7,65.3,13:38,10:41,62,29,139,51.1
27,Cody Bass\bassco01,21,OTT,C,21,64,93,40.8,-16.8,45,70,39.1,-16.9,5.4,90.0,95.4,54.1,45.9,5:19,4:58,0,2,16,75.0
28,Shawn Bates\batessh01,32,NYI,C,2,6,14,30.0,-14.9,3,11,21.4,-19.6,0.0,71.4,71.4,25.0,75.0,7:00,5:52,0,0,1,0.0
29,Bates Battaglia\battaba01,32,TOR,LW,13,37,48,43.5,-10.4,28,38,42.4,-11.2,0.0,80.0,80.0,69.2,30.8,4:46,4:26,0,1,8,75.0
30,Ryan Bayda\baydary01,27,CAR,LW,31,361,255,58.6,5.5,263,188,58.3,3.9,4.6,91.5,96.0,51.3,48.7,12:36,10:52,11,4,94,61.7
31,Francois Beauchemin\beaucfr01,27,ANA,D,82,1258,1151,52.2,-3.1,1000,959,51.0,-4.1,6.6,92.1,98.7,52.7,47.3,25:30,18:24,36,46,302,47.7
32,Kris Beech\beechkr01,26,TOT,C,25,191,179,51.6,0.3,151,129,53.9,2.4,8.3,93.0,101.3,55.6,44.4,11:30,9:18,6,5,46,78.3
33,Steve Begin\beginst01,29,MTL,LW,44,373,425,46.7,-2.2,268,301,47.1,-1.3,8.4,91.8,100.2,34.8,65.2,11:38,9:12,8,11,109,61.5
34,Wade Belak\belakwa01,31,TOT,RW,47,114,198,36.5,-17.6,90,150,37.5,-16.4,7.1,93.3,100.5,50.0,50.0,4:05,3:57,4,4,21,81.0
