08Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
672,Rob Scuderi\scudero01,29,PIT,D,71,0,5,5,3,26,1.9,0,0,0,0,5,0,0,28,0.0,1331,18:45,110,32,0,0,
673,Brent Seabrook\seabrbr01,22,CHI,D,82,9,23,32,13,90,6.7,5,4,0,2,14,8,1,152,5.9,1763,21:30,106,167,0,1,0.0
674,Daniel Sedin\sedinda01,27,VAN,LW,82,29,45,74,6,50,9.0,17,12,0,7,25,20,0,247,11.7,1562,19:03,14,11,17,21,44.7
675,Henrik Sedin\sedinhe01,27,VAN,C,82,15,61,76,6,56,7.6,10,4,1,2,36,25,0,141,10.6,1600,19:31,15,19,643,726,47.0
676,Dennis Seidenberg\seidede01,26,CAR,D,47,0,15,15,6,18,2.6,0,0,0,0,8,7,0,80,0.0,885,18:50,81,110,1,0,100.0
677,Andrej Sekera\sekeran01,21,BUF,D,37,2,6,8,5,16,1.9,2,0,0,1,3,3,0,28,7.1,726,19:37,50,19,0,0,
678,Teemu Selanne*\selante01,37,ANA,RW,26,12,11,23,5,8,3.3,5,7,0,2,6,5,0,87,13.8,471,18:07,2,6,34,33,50.7
679,Alexei Semenov\semenal01,26,SJS,D,22,1,3,4,-8,36,0.5,0,1,0,0,3,0,0,23,4.3,335,15:15,17,24,0,0,
680,Alexander Semin\seminal01,23,WSH,LW,63,26,16,42,-18,54,4.8,16,10,0,2,6,10,0,185,14.1,1065,16:55,14,20,4,7,36.4
681,Tom Sestito\sestito01,20,CBJ,LW,1,0,0,0,0,17,0.0,0,0,0,0,0,0,0,0,,5,4:36,0,1,0,0,
682,Devin Setoguchi\setogde01,21,SJS,RW,44,11,6,17,6,8,2.4,8,3,0,2,6,0,0,105,10.5,627,14:15,17,64,11,6,64.7
683,Brendan Shanahan*\shanabr01,39,NYR,LW,73,23,23,46,-2,35,5.2,12,11,0,3,14,8,1,265,8.7,1351,18:31,47,47,6,2,75.0
684,Ryan Shannon\shannry01,24,VAN,RW,27,5,8,13,-1,24,1.4,1,4,0,0,6,2,0,34,14.7,348,12:53,8,10,32,50,39.0
685,Patrick Sharp\sharppa01,26,CHI,LW,80,36,26,62,23,55,8.9,20,9,7,7,19,5,2,209,17.2,1502,18:47,27,50,305,289,51.3
686,Jody Shelley\shelljo01,31,TOT,LW,62,1,6,7,-4,135,0.2,1,0,0,0,6,0,0,41,2.4,364,5:52,5,93,0,2,0.0
686,Jody Shelley\shelljo01,31,SJS,LW,31,1,6,7,-2,91,0.5,1,0,0,0,6,0,0,31,3.2,229,7:24,3,63,0,1,0.0
686,Jody Shelley\shelljo01,31,CBJ,LW,31,0,0,0,-2,44,-0.3,0,0,0,0,0,0,0,10,0.0,134,4:20,2,30,0,1,0.0
687,James Sheppard\sheppja01,19,MIN,C,78,4,15,19,0,29,1.1,4,0,0,1,12,3,0,57,7.0,828,10:37,22,40,272,383,41.5
688,Mike Sillinger\sillimi01,36,NYI,C,52,14,12,26,-10,28,2.4,9,3,2,2,9,3,0,94,14.9,968,18:36,25,28,578,448,56.3
689,Jon Sim\simjo01,30,NYI,LW,2,0,1,1,-1,2,0.0,0,0,0,0,1,0,0,8,0.0,29,14:19,0,4,0,0,
690,Chris Simon\simonch01,36,TOT,LW,38,1,2,3,-2,59,-0.1,1,0,0,0,2,0,0,27,3.7,273,7:11,8,17,2,0,100.0
690,Chris Simon\simonch01,36,NYI,LW,28,1,2,3,-1,43,0.1,1,0,0,0,2,0,0,18,5.6,195,6:59,6,12,1,0,100.0
690,Chris Simon\simonch01,36,MIN,LW,10,0,0,0,-1,16,-0.2,0,0,0,0,0,0,0,9,0.0,77,7:44,2,5,1,0,100.0
691,Fredrik Sjostrom\sjostfr01,24,TOT,RW,69,12,9,21,-2,22,2.1,8,2,2,2,7,2,0,110,10.9,837,12:07,21,103,6,30,16.7
691,Fredrik Sjostrom\sjostfr01,24,PHX,RW,51,10,9,19,-2,14,1.9,6,2,2,1,7,2,0,84,11.9,691,13:33,19,73,6,27,18.2
691,Fredrik Sjostrom\sjostfr01,24,NYR,RW,18,2,0,2,0,8,0.2,2,0,0,1,0,0,0,26,7.7,145,8:05,2,30,0,3,0.0
692,Jack Skille\skillja01,20,CHI,RW,16,3,2,5,1,0,0.6,3,0,0,0,2,0,0,23,13.0,192,11:59,4,15,2,2,50.0
693,Martin Skoula\skoulma01,28,MIN,D,80,3,8,11,-16,26,2.2,3,0,0,1,8,0,0,63,4.8,1639,20:29,101,71,0,0,
694,Karlis Skrastins\skraska01,33,TOT,D,60,2,3,5,-11,32,0.9,2,0,0,1,3,0,0,45,4.4,1116,18:36,105,42,0,0,
694,Karlis Skrastins\skraska01,33,COL,D,43,1,3,4,-2,20,1.1,1,0,0,0,3,0,0,34,2.9,776,18:02,67,25,0,0,
694,Karlis Skrastins\skraska01,33,FLA,D,17,1,0,1,-9,12,-0.2,1,0,0,1,0,0,0,11,9.1,341,20:03,38,17,0,0,
695,Jim Slater\slateji01,25,ATL,C,69,8,5,13,-10,41,0.6,6,0,2,0,5,0,0,95,8.4,717,10:24,28,84,188,165,53.3
696,Matt Smaby\smabyma01,23,TBL,D,14,0,0,0,-6,12,-0.3,0,0,0,0,0,0,0,7,0.0,170,12:08,12,31,0,0,
697,Ladislav Smid\smidla01,21,EDM,D,65,0,4,4,-15,58,0.4,0,0,0,0,4,0,0,45,0.0,1161,17:52,95,92,0,0,
698,Jason Smith\smithja01,34,PHI,D,77,1,9,10,-4,86,2.1,1,0,0,0,9,0,0,58,1.7,1381,17:56,204,142,1,0,100.0
699,Mark Smith\smithma01,30,CGY,C,54,1,3,4,-6,59,-0.3,1,0,0,0,3,0,0,27,3.7,320,5:56,6,44,31,26,54.4
700,Nathan Smith\smithna02,25,PIT,C,13,0,0,0,0,2,-0.2,0,0,0,0,0,0,0,3,0.0,100,7:41,4,14,40,35,53.3
701,Wyatt Smith\smithwy01,30,COL,C,25,0,3,3,-4,8,-0.4,0,0,0,0,2,0,1,25,0.0,291,11:38,10,10,55,53,50.9
702,Jerred Smithson\smithje01,28,NSH,C,81,7,9,16,-9,50,0.3,5,0,2,2,5,1,3,61,11.5,979,12:05,44,128,298,274,52.1
703,Bryan Smolinski\smolibr01,36,MTL,C,64,8,17,25,-6,20,1.8,7,1,0,2,11,6,0,89,9.0,840,13:08,36,45,382,356,51.8
704,Jordan Smotherman\lavaljo01,21,ATL,LW,2,1,1,2,2,0,0.4,1,0,0,0,1,0,0,1,100.0,23,11:28,0,6,0,0,
705,Ryan Smyth\smythry01,31,COL,LW,55,14,23,37,-4,50,3.3,12,2,0,3,17,6,0,168,8.3,1079,19:37,8,31,13,20,39.4
706,Vladimir Sobotka\sobotvl01,20,BOS,C,48,1,6,7,1,24,0.1,1,0,0,1,6,0,0,40,2.5,424,8:50,10,59,118,123,49.0
707,Brent Sopel\sopelbr01,31,CHI,D,58,1,19,20,9,28,3.8,1,0,0,0,14,1,4,56,1.8,1178,20:18,122,35,0,0,
708,Sheldon Souray\sourash01,31,EDM,D,26,3,7,10,-7,36,1.5,1,2,0,1,4,3,0,71,4.2,633,24:21,24,29,0,0,
709,Jaroslav Spacek\spaceja01,33,BUF,D,60,9,23,32,7,42,5.8,2,7,0,1,8,15,0,95,9.5,1379,22:59,75,78,0,0,
710,Jason Spezza\spezzja01,24,OTT,C,76,34,58,92,26,66,11.6,23,11,0,6,36,22,0,210,16.2,1571,20:40,18,18,727,713,50.5
711,Matthew Spiller\spillma01,24,NYI,D,9,0,1,1,-2,7,0.2,0,0,0,0,0,0,1,6,0.0,178,19:47,17,11,0,0,
712,Martin St. Louis*\stlouma01,32,TBL,RW,82,25,58,83,-23,26,7.6,13,10,2,5,38,19,1,241,10.4,1991,24:17,45,34,3,9,25.0
713,Martin St. Pierre\stpiema01,24,CHI,C,5,0,0,0,-3,0,-0.3,0,0,0,0,0,0,0,2,0.0,76,15:17,1,3,33,26,55.9
714,Eric Staal\staaler01,23,CAR,C,82,38,44,82,-2,50,9.4,24,14,0,7,23,21,0,310,12.3,1774,21:38,33,99,767,941,44.9
715,Jordan Staal\staaljo01,19,PIT,C,82,12,16,28,-5,55,1.3,9,3,0,4,11,4,1,183,6.6,1498,18:16,57,86,507,695,42.2
716,Marc Staal\staalma01,21,NYR,D,80,2,8,10,2,42,3.7,2,0,0,0,7,0,1,78,2.6,1504,18:48,62,124,0,0,
717,Drew Stafford\staffdr01,22,BUF,RW,64,16,22,38,3,51,4.2,15,1,0,5,20,2,0,103,15.5,866,13:32,20,62,8,13,38.1
718,Garrett Stafford\staffga01,28,DET,D,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,14,6:45,0,1,0,0,
