Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,TOI,ATOI,BLK,HIT,FOW,FOL
P.A. Parenteau\parenpi01,27,NYI,LW,81,20,33,53,-8,46,5.2,11,9,0,2,22,11,0,161,1476,18:13,28,117,11,19
Zach Parise\parisza01,26,NJD,C,13,3,3,6,-1,6,0.6,3,0,0,1,2,1,0,49,258,19:51,6,13,4,7
Mark Parrish\parrima01,33,BUF,RW,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,0,24,11:47,2,2,0,0
George Parros\parroge01,31,ANA,RW,78,3,1,4,-4,171,-0.3,3,0,0,1,1,0,0,33,500,6:25,26,97,1,3
Scott Parse\parsesc01,26,LAK,C,5,1,3,4,5,0,0.6,1,0,0,0,3,0,0,6,69,13:47,4,2,0,0
Joe Pavelski\paveljo01,26,SJS,C,74,20,46,66,10,24,7.2,8,11,1,5,27,17,2,282,1454,19:39,67,61,554,466
Theo Peckham\peckhth01,23,EDM,D,71,3,10,13,-5,198,2.6,3,0,0,0,10,0,0,41,1320,18:36,123,196,0,0
Rod Pelley\pellero02,26,NJD,C,74,3,7,10,-9,27,0,2,1,0,0,7,0,0,88,874,11:48,36,113,169,151
Dustin Penner\pennedu01,28,TOT,RW,81,23,22,45,-12,47,4.4,16,6,1,3,20,2,0,173,1468,18:07,30,90,131,175
Joel Perrault\perrajo01,27,VAN,C,7,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,50,7:12,2,11,13,18
Mathieu Perreault\perrema01,23,WSH,C,35,7,7,14,-3,20,1.5,6,1,0,1,5,2,0,41,416,11:53,8,13,133,156
David Perron\perroda01,22,STL,LW,10,5,2,7,7,12,1.3,5,0,0,0,1,0,1,29,184,18:25,1,6,0,0
Corey Perry\perryco01,25,ANA,RW,82,50,48,98,9,104,13.3,32,14,4,11,30,17,1,290,1830,22:19,41,64,9,13
Warren Peters\peterwa01,28,MIN,LW,11,1,0,1,-2,4,0,1,0,0,0,0,0,0,11,96,8:43,7,24,49,30
Toby Petersen\peterto01,32,DAL,C,60,2,4,6,-7,8,-0.4,0,0,2,0,4,0,0,58,602,10:02,36,56,46,74
Richard Petiot\petiori01,28,EDM,D,2,0,0,0,1,2,0.1,0,0,0,0,0,0,0,1,26,13:05,4,3,0,0
